,eMolecules SKU,predicted pKas,"pKas in [3,11]","pKa count in [3,11]",pKas closer than 1 unit,canonical isomeric SMILES
161,140586400,"[3.539, 6.994, 14.48]","[3.539, 6.994]",2.0,False,COc1cc(ccc1OCCCN2CCOCC2)NC(=O)C34CC5CC(C3)CC(C5)C4
162,166388130,[9.342],[9.342],1.0,False,CC(C)(C)c1ccc(cc1)C(=O)CCCN2CCC(CC2)OC(c3ccccc3)c4ccccc4
163,150026614,"[-2.273, -0.418, 5.345]",[5.345],1.0,False,c1ccc(cc1)S(=O)(=O)Nc2nncs2
164,140585382,"[4.03, 12.801, 14.25]",[4.03],1.0,False,c1ccc2c(c1)cc(c(n2)N)C(=O)N
165,151157159,"[0.129, 2.206, 8.766]",[8.766],1.0,False,c1cc(oc1)C(=O)Nc2ncc(s2)Cc3cc(ccc3Cl)C(F)(F)F
166,103655257,[7.422],[7.422],1.0,False,COc1ccc(cc1)/C=C/2\C(=O)NC(=S)S2
167,149965231,"[-0.046, 2.754, 10.212, 14.065, 15.152]",[10.212],1.0,False,Cc1cc(cc(c1)F)NC(=O)NCCCCN2CCCC2
168,140605171,"[-1.642, -1.216, -0.482, 10.834]",[10.834],1.0,False,CC(C)(C)c1cc(no1)NC(=O)Cc2ccccc2
169,129241527,"[0.612, 2.44, 6.058, 13.536]",[6.058],1.0,False,c1cc(ccc1NC(=O)c2ccc3c(c2)OCCCO3)OCCN4CCOCC4
170,100307384,"[3.785, 12.219, 15.295]",[3.785],1.0,False,CCOc1ccc(cc1)Nc2cnnc(n2)Nc3ccc(cc3)OCC
171,146861497,"[0.178, 1.406, 4.231, 10.472, 15.284]","[4.231, 10.472]",2.0,False,CCCCc1ccc(cc1)Nc2nc3c(c(n2)N4CCCC4)nc[nH]3
172,146191804,"[-2.982, -2.873, 2.681, 10.121, 13.479]",[10.121],1.0,False,c1cc(sc1)c2cc(c3c(c(sc3n2)C(=O)N)N)C(F)(F)F
173,103642186,"[-0.383, -0.309, 2.362, 3.342, 8.91, 14.724]","[3.342, 8.91]",2.0,False,COc1cccc(c1)NC(=O)Nc2nnc(s2)c3ccncc3
174,166834625,"[2.524, 10.235]",[10.235],1.0,False,Cc1cc2n[nH]c(=S)n2c3c1cccc3
175,177271234,"[0.29, 2.054, 6.992, 8.185, 12.397, 13.498, 14.818]","[6.992, 8.185]",2.0,False,Cc1cccc(c1NC(=O)c2cnc(s2)Nc3cc(nc(n3)C)N4CCN(CC4)CCO)Cl
176,165962998,"[-0.498, 0.9, 3.199, 12.698]",[3.199],1.0,False,c1ccc(cc1)C(=O)Nc2ccc(cc2)Oc3c4c5c(sc4ncn3)CCCC5
177,167114186,"[3.582, 7.998, 9.594]","[3.582, 7.998, 9.594]",3.0,False,COc1ccccc1N2CCN(CC2)c3c4cn[nH]c4ncn3
